,age,education-num,hours-per-week,income,Count
744,56-59,5,28-38,<=50K,1
745,56-59,5,28-38,<=50K.,4
746,60-65,5,32-38,<=50K,4
747,60-65,5,32-38,<=50K.,3
748,56-58,9,28,<=50K,2
749,56-58,9,28,<=50K.,1
750,60-64,9,28-29,<=50K,1
751,60-64,9,28-29,<=50K.,2
752,65-66,9,20-24,<=50K,15
753,65-66,9,20-24,<=50K.,10
754,37-40,1,40,<=50K,2
755,37-40,1,40,<=50K.,1
756,37-38,3,40-75,<=50K,12
757,37-38,3,40-75,<=50K.,7
758,42,4-5,40-99,<=50K,17
759,42,4-5,40-99,<=50K.,8
760,42,4-5,40-99,>50K.,1
761,37,6,40-84,<=50K,10
762,37,6,40-84,<=50K.,8
763,37,6,40-84,>50K,1
764,37,6,40-84,>50K.,1
765,38,6,40-90,<=50K,8
766,38,6,40-90,<=50K.,6
767,38,6,40-90,>50K,4
768,38,6,40-90,>50K.,2
769,38,7-8,40-65,<=50K,17
770,38,7-8,40-65,<=50K.,9
771,38,7-8,40-65,>50K,5
772,38,7-8,40-65,>50K.,1
773,39-40,7-8,40-70,<=50K,29
774,39-40,7-8,40-70,<=50K.,12
775,39-40,7-8,40-70,>50K,4
776,41,6,40-70,<=50K,6
777,41,6,40-70,<=50K.,4
778,41,6,40-70,>50K,1
779,46-47,6,40-99,<=50K,13
780,46-47,6,40-99,<=50K.,7
781,46-47,6,40-99,>50K,3
782,46-47,6,40-99,>50K.,2
783,41,7-8,40-84,<=50K,13
784,41,7-8,40-84,<=50K.,9
785,41,7-8,40-84,>50K,4
786,41,7-8,40-84,>50K.,1
787,48,4,40-55,<=50K,7
788,48,4,40-55,<=50K.,1
789,48,4,40-55,>50K,2
790,49-50,4,40-99,<=50K,29
791,49-50,4,40-99,<=50K.,10
792,49-50,4,40-99,>50K,1
793,49-50,4,40-99,>50K.,1
794,53-54,4,40-99,<=50K,17
795,53-54,4,40-99,<=50K.,14
796,53-54,4,40-99,>50K,4
797,48,5,40-45,<=50K,4
798,48,5,40-45,<=50K.,4
799,48,5,40-45,>50K,1
800,49-50,5,40-50,<=50K,12
801,49-50,5,40-50,<=50K.,5
802,49-50,5,40-50,>50K,1
803,51,5,40-60,<=50K,8
804,51,5,40-60,<=50K.,5
805,51,5,40-60,>50K,1
806,57,9,40-84,<=50K,69
807,57,9,40-84,<=50K.,38
808,57,9,40-84,>50K,27
809,57,9,40-84,>50K.,12
810,58,9,40-84,<=50K,70
811,58,9,40-84,<=50K.,45
812,58,9,40-84,>50K,31
813,58,9,40-84,>50K.,16
814,60,9,40-99,<=50K,60
815,60,9,40-99,<=50K.,28
816,60,9,40-99,>50K,27
817,60,9,40-99,>50K.,4
818,61,9,40-99,<=50K,61
819,61,9,40-99,<=50K.,32
820,61,9,40-99,>50K,19
821,61,9,40-99,>50K.,9
822,62,9,40-99,<=50K,43
823,62,9,40-99,<=50K.,29
824,62,9,40-99,>50K,15
825,62,9,40-99,>50K.,3
826,63-64,9,40-99,<=50K,67
827,63-64,9,40-99,<=50K.,39
828,63-64,9,40-99,>50K,24
829,63-64,9,40-99,>50K.,11
830,37-38,10-11,15-18,<=50K,5
831,37-38,10-11,15-18,<=50K.,2
832,39,10-11,30-32,<=50K,3
833,39,10-11,30-32,<=50K.,1
834,39,10-11,30-32,>50K.,1
835,40-41,10-11,30-33,<=50K,10
836,40-41,10-11,30-33,<=50K.,9
837,40-41,10-11,30-33,>50K,2
838,45-46,10-11,30-32,<=50K,10
839,45-46,10-11,30-32,<=50K.,3
840,37-38,12,33-35,<=50K.,3
841,37-38,12,33-35,>50K,1
842,37-38,12,36-38,<=50K,3
843,37-38,12,36-38,<=50K.,1
844,37-38,12,36-38,>50K.,1
845,39-40,12,35-38,<=50K,1
846,39-40,12,35-38,<=50K.,1
847,39-40,12,35-38,>50K,1
848,39-40,12,35-38,>50K.,1
849,41-42,12,35-38,<=50K,3
850,41-42,12,35-38,>50K.,2
851,43-45,12,35,<=50K,2
852,43-45,12,35,<=50K.,1
853,43-45,12,36-38,<=50K,2
854,43-45,12,36-38,<=50K.,2
855,46-49,12,33-35,<=50K,2
856,46-49,12,33-35,<=50K.,3
857,46-49,12,33-35,>50K,1
858,50-51,10,32-33,<=50K,1
859,50-51,10,32-33,<=50K.,2
860,56,10,32-34,<=50K,1
861,56,10,32-34,<=50K.,2
862,55-56,10-11,35-38,<=50K,16
863,55-56,10-11,35-38,<=50K.,4
864,55-56,10-11,35-38,>50K.,4
865,66-69,12,1-4,<=50K,1
866,66-69,12,1-4,<=50K.,1
867,66-69,12,1-4,>50K,1
868,62-69,12,6-15,<=50K,3
869,62-69,12,6-15,<=50K.,1
870,62-69,12,6-15,>50K.,1
871,71-72,12,3-16,<=50K,1
872,71-72,12,3-16,<=50K.,1
873,71-72,12,3-16,>50K.,1
874,77-80,12,2-4,<=50K,2
875,77-80,12,2-4,<=50K.,1
876,77-80,12,2-4,>50K,1
877,63-64,12,20-35,<=50K,3
878,65-66,12,20-38,<=50K,1
879,65-66,12,20-38,<=50K.,1
880,65-66,12,20-38,>50K.,1
881,41,13-15,45-48,<=50K,5
882,41,13-15,45-48,<=50K.,7
883,41,13-15,45-48,>50K,18
884,41,13-15,45-48,>50K.,11
885,42,13-16,45-48,<=50K,10
886,42,13-16,45-48,<=50K.,8
887,42,13-16,45-48,>50K,24
888,42,13-16,45-48,>50K.,9
889,43,13-16,45-48,<=50K,12
890,43,13-16,45-48,<=50K.,3
891,43,13-16,45-48,>50K,18
892,43,13-16,45-48,>50K.,8
893,37,13-15,50,<=50K,8
894,37,13-15,50,<=50K.,5
895,37,13-15,50,>50K,29
896,37,13-15,50,>50K.,20
897,41-42,13-16,50-52,<=50K,18
898,41-42,13-16,50-52,<=50K.,14
899,41-42,13-16,50-52,>50K,52
900,41-42,13-16,50-52,>50K.,36
901,49,10-11,40-41,<=50K,39
902,49,10-11,40-41,<=50K.,19
903,49,10-11,40-41,>50K,23
904,49,10-11,40-41,>50K.,8
905,48-49,12,40,<=50K,9
906,48-49,12,40,<=50K.,5
907,48-49,12,40,>50K,5
908,48-49,12,40,>50K.,1
909,50-51,12,40,<=50K,11
910,50-51,12,40,<=50K.,3
911,50-51,12,40,>50K,6
912,50-51,12,40,>50K.,3
913,48-49,13-16,40,<=50K,50
914,48-49,13-16,40,<=50K.,24
915,48-49,13-16,40,>50K,79
916,48-49,13-16,40,>50K.,38
917,50-51,13-16,40,<=50K,52
918,50-51,13-16,40,<=50K.,16
919,50-51,13-16,40,>50K,90
920,50-51,13-16,40,>50K.,35
921,46-47,13-16,45-48,<=50K,17
922,46-47,13-16,45-48,<=50K.,9
923,46-47,13-16,45-48,>50K,39
924,46-47,13-16,45-48,>50K.,18
925,46-47,10-12,50-52,<=50K,20
926,46-47,10-12,50-52,<=50K.,10
927,46-47,10-12,50-52,>50K,15
928,46-47,10-12,50-52,>50K.,11
929,54,13-16,40,<=50K,16
930,54,13-16,40,<=50K.,11
931,54,13-16,40,>50K,27
932,54,13-16,40,>50K.,20
933,55-56,13-16,40,<=50K,34
934,55-56,13-16,40,<=50K.,13
935,55-56,13-16,40,>50K,57
936,55-56,13-16,40,>50K.,29
937,58,10-12,40-99,<=50K,34
938,58,10-12,40-99,<=50K.,19
939,58,10-12,40-99,>50K,30
940,58,10-12,40-99,>50K.,8
941,57,13-16,40,<=50K,17
942,57,13-16,40,<=50K.,3
943,57,13-16,40,>50K,29
944,57,13-16,40,>50K.,14
945,61,10-12,40-90,<=50K,20
946,61,10-12,40-90,<=50K.,12
947,61,10-12,40-90,>50K,19
948,61,10-12,40-90,>50K.,5
949,62-63,10-12,40-98,<=50K,46
950,62-63,10-12,40-98,<=50K.,22
951,62-63,10-12,40-98,>50K,19
952,62-63,10-12,40-98,>50K.,12
953,64-65,10-12,40-70,<=50K,37
954,64-65,10-12,40-70,<=50K.,14
955,64-65,10-12,40-70,>50K,13
956,64-65,10-12,40-70,>50K.,11
957,61,13-16,40-99,<=50K,17
958,61,13-16,40-99,<=50K.,6
959,61,13-16,40-99,>50K,30
960,61,13-16,40-99,>50K.,19
961,62-63,13-16,40-80,<=50K,37
962,62-63,13-16,40-80,<=50K.,13
963,62-63,13-16,40-80,>50K,53
964,62-63,13-16,40-80,>50K.,35
965,27-31,1-2,20-24,<=50K,3
966,32-36,2,15-24,<=50K,2
967,32-36,2,15-24,<=50K.,2
968,32-35,3-4,10-15,<=50K,5
969,27-33,3-4,19-24,<=50K,5
970,27-33,3-4,19-24,<=50K.,1
971,17,5,5-10,<=50K,2
972,17,5,5-10,<=50K.,3
973,17,5,12-16,<=50K,3
974,17,5,12-16,<=50K.,2
975,18-20,5,11-16,<=50K,4
976,18-20,5,11-16,<=50K.,1
977,18-23,5,20,<=50K,4
978,18-23,5,20,<=50K.,1
979,24-27,5,10-15,<=50K,2
980,24-27,5,10-15,<=50K.,2
981,17-18,6,6,<=50K,4
982,17-18,6,6,<=50K.,1
983,17,6,8,<=50K,3
984,17,6,8,<=50K.,2
985,31-34,1-2,25,<=50K,2
986,31-34,1-2,25,<=50K.,1
987,30-33,1-2,28-32,<=50K,1
988,30-33,1-2,28-32,<=50K.,2
989,27-28,1-2,35-38,<=50K,2
990,27-28,1-2,35-38,<=50K.,1
991,31-35,1-2,35-38,<=50K,4
992,31-35,1-2,35-38,<=50K.,2
993,17,6,30-35,<=50K,19
994,17,6,30-35,<=50K.,9
995,22,5-6,25-30,<=50K,8
996,22,5-6,25-30,<=50K.,2
997,22-27,5-6,32,<=50K,2
998,22-27,5-6,32,<=50K.,1
999,17,7,4-5,<=50K,4
1000,17,7,4-5,<=50K.,1
1001,18-24,7,2-3,<=50K,2
1002,18-24,7,2-3,<=50K.,2
1003,18-35,7-8,6-7,<=50K,5
1004,18-35,7-8,6-7,<=50K.,5
1005,18-35,7-8,8-9,<=50K,9
1006,18-35,7-8,8-9,<=50K.,5
1007,18,7-8,25,<=50K,22
1008,18,7-8,25,<=50K.,6
1009,18,7-8,27-28,<=50K,3
1010,18,7-8,27-28,<=50K.,1
1011,18,7-8,30-36,<=50K,23
1012,18,7-8,30-36,<=50K.,17
1013,19-22,7-8,20,<=50K,18
1014,19-22,7-8,20,<=50K.,5
1015,19-22,7-8,28-30,<=50K,18
1016,19-22,7-8,28-30,<=50K.,5
1017,18,9,8-9,<=50K,2
1018,18,9,8-9,<=50K.,1
1019,19-20,9,6-8,<=50K,3
1020,19-20,9,6-8,<=50K.,2
1021,18,9,10,<=50K,4
1022,18,9,10,<=50K.,2
1023,19-20,9,10,<=50K,4
1024,19-20,9,10,<=50K.,5
1025,21-22,9,1-3,<=50K,2
1026,21-22,9,1-3,<=50K.,1
1027,21-22,9,8-12,<=50K,3
1028,21-22,9,8-12,<=50K.,4
1029,21-22,9,13-15,<=50K,2
1030,21-22,9,13-15,<=50K.,2
1031,32,9,2-5,<=50K,2
1032,32,9,2-5,>50K,1
1033,35-36,9,2-5,<=50K,3
1034,35-36,9,2-5,<=50K.,1
1035,28-30,9,14-15,<=50K,1
1036,28-30,9,14-15,<=50K.,2
1037,28-30,9,14-15,>50K,1
1038,31-32,9,15-18,<=50K,6
1039,31-32,9,15-18,<=50K.,1
1040,19,9,24,<=50K,5
1041,19,9,24,<=50K.,2
1042,22-23,9,24,<=50K,4
1043,22-23,9,24,<=50K.,3
1044,24,9,24-25,<=50K,9
1045,24,9,24-25,<=50K.,4
1046,28,9,20-23,<=50K,7
1047,28,9,20-23,<=50K.,3
1048,30-31,9,25-29,<=50K,14
1049,30-31,9,25-29,<=50K.,5
1050,33,9,20-25,<=50K,11
1051,33,9,20-25,<=50K.,3
1052,33,9,20-25,>50K,1
1053,19,9,32-34,<=50K,3
1054,19,9,32-34,<=50K.,2
1055,20,9,32-33,<=50K,4
1056,20,9,32-33,<=50K.,3
1057,25,9,35-38,<=50K,24
1058,25,9,35-38,<=50K.,8
1059,27,9,30,<=50K,7
1060,27,9,30,<=50K.,1
1061,27,9,32-34,<=50K,5
1062,27,9,32-34,<=50K.,5
1063,26,9,35,<=50K,4
1064,26,9,35,<=50K.,3
1065,27,9,35,<=50K,7
1066,27,9,35,<=50K.,7
1067,32,9,30-34,<=50K,6
1068,32,9,30-34,<=50K.,2
1069,33,9,30-34,<=50K,10
1070,33,9,30-34,<=50K.,7
1071,33,9,30-34,>50K.,1
1072,35,9,30-32,<=50K,13
1073,35,9,30-32,<=50K.,3
1074,36,9,30-33,<=50K,11
1075,36,9,30-33,<=50K.,7
1076,35,9,35-38,<=50K,21
1077,35,9,35-38,<=50K.,5
1078,35,9,35-38,>50K,2
1079,35,9,35-38,>50K.,2
1080,19,2,40-55,<=50K,3
1081,21-23,2,40,<=50K,3
1082,21-23,2,40,<=50K.,1
1083,17-19,3,40-54,<=50K,5
1084,17-19,3,40-54,<=50K.,1
1085,22,3,40-50,<=50K,8
1086,22,3,40-50,<=50K.,1
1087,22,3,40-50,>50K,1
1088,23,3,40-55,<=50K,8
1089,23,3,40-55,<=50K.,3
1090,26,3,40-50,<=50K,7
1091,26,3,40-50,<=50K.,2
1092,27,3,40-75,<=50K,14
1093,27,3,40-75,<=50K.,3
1094,28-29,2,40-77,<=50K,6
1095,31,2,40-45,<=50K,4
1096,31,2,40-45,<=50K.,3
1097,32-33,2,40-50,<=50K,5
1098,32-33,2,40-50,<=50K.,2
1099,29,3,40-42,<=50K,6
1100,29,3,40-42,<=50K.,2
1101,33,3,40-59,<=50K,7
1102,33,3,40-59,<=50K.,3
1103,33,3,40-59,>50K,1
1104,17-18,4,40-45,<=50K,6
1105,17,5,40-50,<=50K,7
1106,17,5,40-50,<=50K.,3
1107,20,4,40-60,<=50K,3
1108,20,4,40-60,<=50K.,2
1109,20,5,40-50,<=50K,7
1110,20,5,40-50,<=50K.,5
1111,23,4,40,<=50K,5
1112,23,4,40,<=50K.,1
1113,24,4,40-60,<=50K,8
1114,24,4,40-60,<=50K.,2
1115,24,4,40-60,>50K,1
1116,25,4,40-60,<=50K,8
1117,25,4,40-60,<=50K.,2
1118,25,4,40-60,>50K.,1
1119,23,5,40-70,<=50K,5
1120,23,5,40-70,<=50K.,3
1121,24,5,40-58,<=50K,6
1122,24,5,40-58,<=50K.,6
1123,30,4,40-50,<=50K,11
1124,30,4,40-50,<=50K.,2
1125,31,4,40-70,<=50K,13
1126,31,4,40-70,<=50K.,2
1127,30,5,40-45,<=50K,11
1128,30,5,40-45,<=50K.,7
1129,31,5,40-65,<=50K,15
1130,31,5,40-65,<=50K.,4
1131,31,5,40-65,>50K,1
1132,32,4,40,<=50K,6
1133,33,4,40-45,<=50K,10
1134,33,4,40-45,<=50K.,3
1135,33,4,40-45,>50K,1
1136,34,4,40-50,<=50K,6
1137,34,4,40-50,<=50K.,4
1138,32,5,40-50,<=50K,5
1139,32,5,40-50,<=50K.,2
1140,34,5,40-50,<=50K,7
1141,34,5,40-50,<=50K.,5
1142,35-36,5,40-96,<=50K,21
1143,35-36,5,40-96,<=50K.,6
1144,35-36,5,40-96,>50K,1
1145,19,6,40-45,<=50K,7
1146,19,6,40-45,<=50K.,4
1147,24,6,40,<=50K,4
1148,24,6,40,<=50K.,1
1149,24,6,45-65,<=50K,3
1150,24,6,45-65,<=50K.,2
1151,25,6,40-50,<=50K,17
1152,25,6,40-50,<=50K.,2
1153,26,6,40-99,<=50K,13
1154,26,6,40-99,<=50K.,8
1155,26,6,40-99,>50K.,1
1156,34,6,40-80,<=50K,10
1157,34,6,40-80,<=50K.,7
1158,34,6,40-80,>50K,1
1159,34,6,40-80,>50K.,1
1160,35,7-8,40-90,<=50K,31
1161,35,7-8,40-90,<=50K.,12
1162,35,7-8,40-90,>50K,1
1163,36,7-8,40-65,<=50K,24
1164,36,7-8,40-65,<=50K.,20
1165,36,7-8,40-65,>50K,2
1166,17-18,10,4-6,<=50K,3
1167,17-18,10,4-6,<=50K.,1
1168,19,10,2-7,<=50K,2
1169,19,10,2-7,<=50K.,2
1170,20-21,10,2-3,<=50K,3
1171,20-21,10,2-3,<=50K.,1
1172,20,10,8-9,<=50K,5
1173,20,10,8-9,<=50K.,2
1174,21,10-12,8-9,<=50K,9
1175,21,10-12,8-9,<=50K.,2
1176,22,10,2-4,<=50K,3
1177,22,10,2-4,<=50K.,1
1178,22,10,6-8,<=50K,3
1179,22,10,6-8,<=50K.,2
1180,25,10,20-24,<=50K,10
1181,25,10,20-24,<=50K.,3
1182,26-27,10,20-24,<=50K,23
1183,26-27,10,20-24,<=50K.,2
1184,22-24,11-12,2-6,<=50K,3
1185,22-24,11-12,2-6,<=50K.,2
1186,23-25,11,15,<=50K,3
1187,26-28,11-12,3-8,<=50K,5
1188,26-28,11-12,3-8,<=50K.,1
1189,26-30,11-12,13-18,<=50K,3
1190,26-30,11-12,13-18,<=50K.,2
1191,26-30,11-12,13-18,>50K,2
1192,22-23,11,20,<=50K,2
1193,22-23,11,20,<=50K.,1
1194,24,11,20,<=50K,4
1195,22,12,20,<=50K,4
1196,23-24,12,20-22,<=50K,14
1197,23-24,12,20-22,<=50K.,2
1198,25-27,11-12,20,<=50K,2
1199,25-27,11-12,20,<=50K.,3
1200,31,11-12,20-24,<=50K,4
1201,22,13,15-18,<=50K,6
1202,22,13,15-18,<=50K.,5
1203,22,13-14,20-23,<=50K,10
1204,22,13-14,20-23,<=50K.,9
1205,23,13-14,20-24,<=50K,19
1206,23,13-14,20-24,<=50K.,3
1207,26,13-16,20-24,<=50K,15
1208,26,13-16,20-24,<=50K.,7
1209,23,10,30,<=50K,19
1210,23,10,30,<=50K.,10
1211,18,10,32-33,<=50K,2
1212,18,10,32-33,<=50K.,1
1213,19,10,32-34,<=50K,2
1214,19,10,32-34,<=50K.,6
1215,22,10-13,32-34,<=50K,5
1216,22,10-13,32-34,<=50K.,2
1217,22,10-13,32-34,>50K,1
1218,18,10,35-38,<=50K,9
1219,19,10,35-38,<=50K,28
1220,19,10,35-38,<=50K.,9
1221,24,10,25,<=50K,4
1222,24,10,25,<=50K.,4
1223,25,10,25,<=50K,7
1224,25,10,25,<=50K.,4
1225,26,10-11,25-28,<=50K,3
1226,26,10-11,25-28,<=50K.,5
1227,27-28,10,25-26,<=50K,8
1228,27-28,10,25-26,<=50K.,4
1229,26,10,30-32,<=50K,4
1230,26,10,30-32,<=50K.,4
1231,27-28,10-11,30-32,<=50K,20
1232,27-28,10-11,30-32,<=50K.,8
1233,27-28,10-11,30-32,>50K,2
1234,27-28,10-11,30-32,>50K.,1
1235,26,10-11,35,<=50K,13
1236,26,10-11,35,<=50K.,4
1237,29,10,25-28,<=50K,3
1238,29,10,25-28,<=50K.,1
1239,30-31,10,25-28,<=50K,5
1240,30-31,10,25-28,<=50K.,3
1241,30-31,10,25-28,>50K,1
1242,29,10-11,30-34,<=50K,4
1243,29,10-11,30-34,<=50K.,1
1244,29,10-11,30-34,>50K,1
1245,30-31,10-11,30-34,<=50K,15
1246,30-31,10-11,30-34,<=50K.,10
1247,30-31,10-11,30-34,>50K,1
1248,30-31,10-11,30-34,>50K.,1
1249,32-33,10-11,25-28,<=50K,7
1250,32-33,10-11,25-28,<=50K.,3
1251,32-33,10,30-34,<=50K,11
1252,32-33,10,30-34,<=50K.,6
1253,32-33,10,30-34,>50K,2
1254,24,12,30,<=50K,3
1255,24,12,30,<=50K.,3
1256,24-25,12,35,<=50K,1
1257,24-25,12,35,<=50K.,1
1258,24-25,12,35,>50K,1
1259,27-29,12,35,<=50K,4
1260,27-29,12,35,<=50K.,3
1261,30,12,25,<=50K,2
1262,30,12,25,>50K,1
1263,31-32,12,25-32,<=50K,3
1264,24-25,13-14,25-28,<=50K,7
1265,24-25,13-14,25-28,<=50K.,6
1266,24,13,30-33,<=50K,17
1267,24,13,30-33,<=50K.,2
1268,24,13-14,35-39,<=50K,10
1269,24,13-14,35-39,<=50K.,9
1270,24,13-14,35-39,>50K,1
1271,24,13-14,35-39,>50K.,1
1272,25,13-14,35-38,<=50K,23
1273,25,13-14,35-38,<=50K.,7
1274,25,13-14,35-38,>50K,2
1275,26,13-14,35-38,<=50K,15
1276,26,13-14,35-38,<=50K.,6
1277,27-28,13-14,35-38,<=50K,22
1278,27-28,13-14,35-38,<=50K.,11
1279,27-28,13-14,35-38,>50K,3
1280,33-36,13-14,25-28,<=50K,5
1281,33-36,13-14,25-28,<=50K.,3
1282,33-36,13-14,25-28,>50K,3
1283,33-36,13-14,25-28,>50K.,1
1284,29,13-16,35-36,<=50K,7
1285,29,13-16,35-36,<=50K.,5
1286,29,13-16,35-36,>50K,4
1287,25,11,40-90,<=50K,23
1288,25,11,40-90,<=50K.,5
1289,25,11,40-90,>50K,4
1290,25,11,40-90,>50K.,3
1291,25,12,40-80,<=50K,26
1292,25,12,40-80,<=50K.,9
1293,25,12,40-80,>50K,1
1294,25,12,40-80,>50K.,1
1295,28,13,43,<=50K,3
1296,28,13,43,>50K.,1
1297,28-29,13-16,45-48,<=50K,30
1298,28-29,13-16,45-48,<=50K.,12
1299,28-29,13-16,45-48,>50K,19
1300,28-29,13-16,45-48,>50K.,5
1301,30-31,13-14,44,<=50K,1
1302,30-31,13-14,44,>50K,2
1303,32,13,44,<=50K,2
1304,32,13,44,>50K,1
1305,32,13,44,>50K.,2
1306,30,13-15,45-48,<=50K,11
1307,30,13-15,45-48,<=50K.,4
1308,30,13-15,45-48,>50K,15
1309,30,13-15,45-48,>50K.,5
1310,33,13-16,44-48,<=50K,14
1311,33,13-16,44-48,<=50K.,5
1312,33,13-16,44-48,>50K,18
1313,33,13-16,44-48,>50K.,7
1314,34,13-16,44-48,<=50K,11
1315,34,13-16,44-48,<=50K.,4
1316,34,13-16,44-48,>50K,18
1317,34,13-16,44-48,>50K.,12
1318,35-36,13-14,44,<=50K,2
1319,35-36,13-14,44,>50K,2
1320,35-36,13-16,45-48,<=50K,25
1321,35-36,13-16,45-48,<=50K.,14
1322,35-36,13-16,45-48,>50K,42
1323,35-36,13-16,45-48,>50K.,14
1324,30,13-15,50,<=50K,9
1325,30,13-15,50,<=50K.,12
1326,30,13-15,50,>50K,16
1327,30,13-15,50,>50K.,6
1328,39-42,1,20-25,<=50K,3
1329,43-46,2-3,20-28,<=50K,3
1330,43-46,2-3,20-28,<=50K.,2
1331,37-43,4,20-25,<=50K,4
1332,37-43,4,20-25,<=50K.,1
1333,44-46,4,20-25,<=50K,2
1334,44-46,4,20-25,<=50K.,3
1335,47-51,3-4,8-19,<=50K,4
1336,47-51,3-4,8-19,<=50K.,1
1337,47-49,3-4,20,<=50K,2
1338,47-49,3-4,20,<=50K.,2
1339,37-40,3,30-36,<=50K,3
1340,37-40,3,30-36,<=50K.,1
1341,38-41,4,30,<=50K,1
1342,38-41,4,30,<=50K.,2
1343,37-41,4,35-36,<=50K,3
1344,37-41,4,35-36,>50K,1
1345,37-41,4,35-36,>50K.,1
1346,45,3,35-38,<=50K,3
1347,46-49,2-3,30-35,<=50K,2
1348,46-49,2-3,30-35,<=50K.,2
1349,46-48,4,30,<=50K,3
1350,46-48,4,30,<=50K.,1
1351,49,4,32-38,<=50K,4
1352,39-42,6-8,1-12,<=50K,3
1353,39-42,6-8,1-12,<=50K.,1
1354,38-42,6-8,15-17,<=50K,4
1355,38-42,6-8,15-17,<=50K.,1
1356,45-53,5,9-16,<=50K,2
1357,45-53,5,9-16,<=50K.,1
1358,54-55,5,4-15,<=50K,1
1359,54-55,5,4-15,<=50K.,2
1360,37-39,5-6,24-25,<=50K,3
1361,37-39,5-6,24-25,<=50K.,1
1362,40-45,5-6,20-25,<=50K,2
1363,40-45,5-6,20-25,<=50K.,3
1364,37-40,7,20-25,<=50K,2
1365,37-40,7,20-25,<=50K.,2
1366,37-40,7,20-25,>50K.,1
1367,46-51,5,20-25,<=50K,4
1368,52-55,5,23-25,<=50K,4
1369,52-55,5,23-25,<=50K.,1
1370,37-39,5,30-35,<=50K,4
1371,37-38,6,30-35,<=50K,6
1372,37-38,6,30-35,<=50K.,1
1373,40-44,5-6,30-33,<=50K,3
1374,40-44,5-6,30-33,<=50K.,3
1375,40-45,7-8,30-32,<=50K,4
1376,40-45,7-8,30-32,<=50K.,1
1377,46-51,5,30-35,<=50K,2
1378,46-51,5,30-35,<=50K.,1
1379,49-51,5,37-38,<=50K,2
1380,49-51,5,37-38,<=50K.,1
1381,52-55,5,30,<=50K,2
1382,52-55,5,30,<=50K.,1
1383,53-55,5,35-37,<=50K,2
1384,53-55,5,35-37,<=50K.,1
1385,53-55,5,35-37,>50K,1
1386,37,9,10-12,<=50K,4
1387,37,9,10-12,<=50K.,2
1388,38-39,9,4-12,<=50K,4
1389,38-39,9,4-12,<=50K.,2
1390,38-39,9,4-12,>50K.,1
1391,37-38,9,15-18,<=50K,2
1392,37-38,9,15-18,<=50K.,3
1393,41-42,9,15-16,<=50K,4
1394,41-42,9,15-16,<=50K.,2
1395,46-47,9,2-7,<=50K,3
1396,46-47,9,2-7,<=50K.,1
1397,46-47,9,2-7,>50K,1
1398,50-55,9,2-6,<=50K,2
1399,50-55,9,2-6,<=50K.,1
1400,50-55,9,2-6,>50K.,2
1401,46-48,9,15,<=50K,5
1402,46-48,9,15,<=50K.,1
1403,46-48,9,16-18,<=50K,4
1404,46-48,9,16-18,<=50K.,3
1405,46-48,9,16-18,>50K,1
1406,37,9,20,<=50K,4
1407,37,9,20,<=50K.,2
1408,38-39,9,20-22,<=50K,11
1409,38-39,9,20-22,<=50K.,1
1410,40,9,20-23,<=50K,3
1411,40,9,20-23,<=50K.,2
1412,40,9,20-23,>50K,1
1413,44-46,9,20-24,<=50K,7
1414,44-46,9,20-24,<=50K.,4
1415,44-45,9,25-28,<=50K,6
1416,44-45,9,25-28,<=50K.,2
1417,51,9,20-28,<=50K,5
1418,51,9,20-28,<=50K.,4
1419,51,9,20-28,>50K,2
1420,38,9,30-33,<=50K,8
1421,38,9,30-33,<=50K.,4
1422,38,9,35-38,<=50K,12
1423,38,9,35-38,<=50K.,4
1424,38,9,35-38,>50K,2
1425,43,9,30-32,<=50K,7
1426,43,9,30-32,<=50K.,2
1427,43,9,30-32,>50K,1
1428,44-45,9,30-33,<=50K,15
1429,44-45,9,30-33,<=50K.,10
1430,44-45,9,30-33,>50K,1
1431,42,9,35-39,<=50K,13
1432,42,9,35-39,<=50K.,4
1433,42,9,35-39,>50K,1
1434,42,9,35-39,>50K.,1
1435,43,9,35-38,<=50K,12
1436,43,9,35-38,<=50K.,6
1437,43,9,35-38,>50K,4
1438,48-49,9,30-33,<=50K,16
1439,48-49,9,30-33,<=50K.,2
1440,48-49,9,30-33,>50K,2
1441,46,9,35,<=50K,5
1442,46,9,35,<=50K.,2
1443,50,9,30-33,<=50K,5
1444,50,9,30-33,<=50K.,5
1445,50,9,30-33,>50K,1
1446,51-52,9,30-32,<=50K,9
1447,51-52,9,30-32,<=50K.,4
1448,53,9,30-34,<=50K,7
1449,53,9,30-34,<=50K.,3
1450,53,9,30-34,>50K,1
1451,53,9,35-39,<=50K,15
1452,53,9,35-39,<=50K.,2
1453,53,9,35-39,>50K,3
1454,53,9,35-39,>50K.,2
1455,57-63,3-4,3-5,<=50K,3
1456,64-66,2-3,4-15,<=50K,3
1457,64-66,2-3,4-15,<=50K.,2
1458,57-61,2,18-22,<=50K,4
1459,57-61,2,18-22,<=50K.,1
1460,63-67,2-3,16-21,<=50K,6
1461,63-67,2-3,16-21,<=50K.,1
1462,56-60,2-3,25-30,<=50K,2
1463,56-60,2-3,25-30,>50K,1
1464,62-63,2-3,24-25,<=50K,1
1465,62-63,2-3,24-25,<=50K.,2
1466,62-67,1-3,30-35,<=50K,7
1467,62-67,1-3,30-35,<=50K.,3
1468,68-71,1-2,4-10,<=50K,3
1469,68-73,3,6-12,<=50K,2
